Abhayapuri#-90.63;26.4&
Kaira#-72.83;22.75&
Kairana#-77.25;22.4&
Kaithal#-76.43;29.8&
Kakdwip#-88.18;21.88&
Kakinada#-82.18;16.95&
Kali#-79.92;27.1&
Kali Sindh#-76.28;25.53&
Kalimpong#-88.58;27.07&
Kalka#-76.95;30.77&
Kalna#-88.42;23.22&
Kalnai#-83.5;22.77&
Kalol, Gujarat#-73.52;22.62&
Kalol, Gujarat#-72.55;23.25&
Kalpi#-79.78;26.13&
Kaman#-77.27;27.65&
Kamla#-86.6;25.58&
Kanchipuram#-79.75;12.87&
Kandaghat#-77.12;30.98&
Kandhla#-77.32;29.3&
Kandi#-88.08;23.97&
Kandla#-70.17;23&
Kangra#-76.27;32.1&
Kangto#-92.58;27.83&
Kanhar#-83.13;24.47&
Kanker#-81.67;20.17&
Kankroli#-73.88;25.07&
Kannauj#-79.93;27.05&
Kannod#-76.67;22.75&
Kanpur#-80.33;26.47&
Kantaphor#-76.57;22.58&
Kantli#-75.5;28.33&
Kapadvanj#-73;23.08&
Kapurthala#-75.42;31.38&
Karad#-74.17;17.25&
Karagola Road#-87.38;25.48&
Karaikal#-79.83;10.98&
Karaikkudi#-78.75;10.08&
Karamnasa#-83.87;25.52&
Karanjia#-85.97;21.78&
Karauli#-77.07;26.5&
Karchana#-81.93;25.28&
Kareha#-86.35;25.73&
Karera#-78.15;25.53&
Kargil#-76.2;34.53&
Karhal#-78.95;27.02&
Karimnagar#-79.17;18.43&
Karnal#-77.03;29.7&
Karnaprayag#-79.25;30.27&
Karnataka#-77;13.25&
Karsiyang#-88.3;26.93&
Karsog#-77.2;31.38&
Kartapur#-75.53;31.45&
Karur#-78.08;10.95&
Karwan#-78.07;27.43&
